#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
203 84.833333 166.546707 391 8.423475 20 6436 15 557 1527 76.873556 241.528747 284 754.777334 20 12 240.229863 110.546102 2 19 60 16.460358 10.935890
204 81.833333 157.009996 644 8.064076 24 9831 15 528 1473 72.307051 231.927134 268 773.090448 24 12 241.023503 110.238533 2 18 57 15.265528 9.984584
205 84.777778 161.470519 428 8.423475 26 7606 15 542 1526 74.507698 241.350588 298 709.854671 26 12 219.140289 110.014344 2 18 60 17.771028 12.052801
206 87.277778 166.239387 644 8.785016 27 12153 17 558 1571 77.031570 249.380588 301 692.723856 27 12 213.976583 105.115657 2 19 62 18.871118 12.392538
207 86.333333 164.648447 421 8.664269 24 8017 16 559 1554 77.189619 246.343962 291 648.273585 24 12 203.130577 95.758239 2 19 61 19.042755 11.773115
208 85.944444 163.011749 640 8.543754 23 11800 17 547 1547 75.295406 245.094666 306 680.818516 23 11 209.153906 107.141376 2 18 61 18.437500 12.382794
209 83.666667 158.288766 338 8.303433 25 6353 18 531 1506 72.778000 237.790172 303 660.528257 25 12 202.161111 105.925395 2 18 59 18.795858 12.763079
210 82.722222 159.138935 610 8.183633 26 10449 17 533 1489 73.092154 234.767993 301 690.494098 26 12 214.976924 111.298931 2 18 58 17.129508 12.385923
211 82.833333 160.008420 476 8.183633 24 8658 16 535 1491 73.406459 235.123343 295 653.120397 24 12 203.906830 102.690893 2 18 58 18.189076 12.338791
212 83.833333 162.274544 539 8.303433 23 9613 18 544 1509 74.822671 238.323898 302 700.952641 23 12 220.066680 111.727518 2 18 59 17.834879 12.510945
213 84.277778 160.887402 494 8.423475 25 8681 18 543 1517 74.665166 239.747748 300 705.140436 25 12 219.603430 110.870539 2 18 59 17.572874 12.660538
214 83.833333 159.101034 504 8.303433 24 8767 18 534 1509 73.249288 238.323898 301 700.952641 24 12 215.439082 111.298931 2 18 59 17.394841 12.330954
215 83.944444 155.917525 491 8.303433 20 9830 14 531 1511 72.778000 238.679781 288 596.699453 20 12 181.945000 89.883522 2 18 59 20.020367 12.095495
216 85.833333 156.125395 530 8.543754 20 10660 14 527 1545 72.150144 244.737840 293 611.844600 20 12 180.375359 91.695724 2 18 61 20.113208 11.512029
217 85.333333 156.119256 477 8.543754 22 9099 14 527 1536 72.150144 243.132766 303 639.823069 22 12 189.868799 100.350374 2 18 60 19.075472 11.906632
218 82.777778 156.814666 497 8.183633 22 8688 16 526 1490 71.993274 234.945661 295 691.016651 22 12 211.744925 108.731533 2 17 58 17.480885 12.454026
219 81.944444 156.926548 483 8.064076 20 8496 19 526 1475 71.993274 232.282052 295 683.182507 20 12 211.744925 108.731533 2 17 58 17.590062 12.742621
220 82.555556 156.011119 558 8.183633 24 9431 18 524 1486 71.679650 234.235069 304 731.984591 24 12 223.998906 119.621857 2 17 58 16.901434 12.325744
